window,start_index,start_A,start_B,rebalance_month,v1_trailing_sharpe_A,v1_trailing_sharpe_B,v1_a_weight,v2_trailing_sharpe_A,v2_trailing_sharpe_B,v2_a_weight,v2_minus_v1_a_weight,abs_a_weight_difference,v1_favored_leg,v2_favored_leg,favored_leg_same,favored_leg_flipped,weights_different
recent,0,2023-01-01,2023-11-01,2025-04-01,0.37294832368141556,-1.1359742730958169,0.9,-0.27055279399591126,0.0564970981456807,0.5,-0.4,0.4,A,neutral,False,True,True
recent,0,2023-01-01,2023-11-01,2025-05-01,0.8304772605050926,0.8328504805856951,0.5,0.6453217599814034,0.9712796061630308,0.1,-0.4,0.4,neutral,B,False,True,True
recent,0,2023-01-01,2023-11-01,2025-06-01,1.3820982495630203,0.6002958204932867,0.9,1.1831473192868263,0.8138302770974272,0.5,-0.4,0.4,A,neutral,False,True,True
recent,0,2023-01-01,2023-11-01,2025-07-01,1.0976318496226463,-0.2519781501489201,0.9,0.9818905214747735,0.45114082659945154,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-08-01,2.136137274124494,-0.03555646486898449,0.9,1.8370944601032495,0.47014448243074347,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-09-01,3.0515426482064316,-1.3767928657449837,0.9,2.857078568264062,-0.8271839615521923,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-10-01,2.3165903678790114,-1.2357924686509691,0.9,2.273573035586423,-0.6422785714042684,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-11-01,2.272133959766842,0.5770356696546021,0.9,2.5445486788442944,0.6291030999024622,0.9,0.0,0.0,A,A,True,False,False
recent,0,2023-01-01,2023-11-01,2025-12-01,2.1146674293781857,0.008560804999680713,0.9,1.8860533068021301,0.18895242617631322,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2024-02-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,1,2023-02-01,2023-12-01,2024-03-01,-1.4511449231741795,,0.5,-1.302480045016522,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,1,2023-02-01,2023-12-01,2024-04-01,-2.1432215859259514,-1.0514178894987287,0.1,-2.023590406094404,-1.2966278954285497,0.1,0.0,0.0,B,B,True,False,False
recent,1,2023-02-01,2023-12-01,2024-05-01,-3.0702046907641116,-0.8476759715724027,0.1,-2.8317673596136954,-1.0449359538595564,0.1,0.0,0.0,B,B,True,False,False
recent,1,2023-02-01,2023-12-01,2024-06-01,-2.263426451622009,0.40350936651862584,0.1,-2.444532991141201,0.6293925260197937,0.1,0.0,0.0,B,B,True,False,False
recent,1,2023-02-01,2023-12-01,2024-07-01,-2.383822035167154,0.8852833511142819,0.1,-2.569768607699783,0.6324727934685658,0.1,0.0,0.0,B,B,True,False,False
recent,1,2023-02-01,2023-12-01,2024-08-01,0.025428664432637783,-0.6020122775442166,0.5,-0.12565598774768794,-0.5452709366121147,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,1,2023-02-01,2023-12-01,2024-09-01,1.9545113765905597,-1.0769103081008489,0.9,1.5120093925664535,-1.1513390531516463,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2024-10-01,5.987025213153643,-1.7565753697736635,0.9,5.844267969072554,-2.0722876254480656,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2024-11-01,4.788562984682252,-1.5583095879411333,0.9,4.259448856169913,-1.9484317018176966,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2024-12-01,4.181962686292285,0.009542859547453472,0.9,3.775896889646072,-0.512730090571204,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-01-01,2.3975943380327336,0.9846612830768784,0.9,2.1416358199887804,1.0976731379448792,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-02-01,1.4146977472576618,0.41175137543108753,0.9,1.0625795571539325,0.45781693349775715,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-03-01,0.591722520912436,0.911355335751134,0.5,0.09103939200054319,1.28365105004104,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,1,2023-02-01,2023-12-01,2025-04-01,0.37294832368141556,-0.7014302919052271,0.9,-0.27055279399591126,-0.08078196210019879,0.1,-0.8,0.8,A,B,False,True,True
recent,1,2023-02-01,2023-12-01,2025-05-01,0.8304772605050926,-1.8550738380964047,0.9,0.6453217599814034,-1.7414362901096379,0.5,-0.4,0.4,A,neutral,False,True,True
recent,1,2023-02-01,2023-12-01,2025-06-01,1.3820982495630203,-1.8873925889379768,0.9,1.1831473192868263,-1.8074878361985964,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-07-01,1.0976318496226463,-2.6395057233211454,0.9,0.9818905214747735,-2.436517413960179,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-08-01,2.136137274124494,-1.539364258732323,0.9,1.8370944601032495,-1.6827923394800135,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-09-01,3.0515426482064316,-0.25602970010248327,0.9,2.857078568264062,-0.48156935361674413,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-10-01,2.3165903678790114,0.1644783438996226,0.9,2.273573035586423,-0.15840730004096804,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-11-01,2.272133959766842,1.9925966036601714,0.9,2.5445486788442944,1.5164819845474011,0.9,0.0,0.0,A,A,True,False,False
recent,1,2023-02-01,2023-12-01,2025-12-01,2.1146674293781857,0.056789502530856344,0.9,1.8860533068021301,-0.1526330447964394,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2024-03-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,2,2023-03-01,2024-01-01,2024-04-01,-3.5037324471858464,5.0083361715395665,0.1,-4.27537038016803,4.904470602045734,0.1,0.0,0.0,B,B,True,False,False
recent,2,2023-03-01,2024-01-01,2024-05-01,-5.974430081219759,4.368471308037031,0.1,-6.343785680241884,4.134573033864106,0.1,0.0,0.0,B,B,True,False,False
recent,2,2023-03-01,2024-01-01,2024-06-01,-3.163503645006633,2.3466014360143204,0.1,-3.5443128910330124,1.9288443062632499,0.1,0.0,0.0,B,B,True,False,False
recent,2,2023-03-01,2024-01-01,2024-07-01,-2.7816142411506886,2.4433007267015783,0.1,-2.999978866413246,2.1000382849228694,0.1,0.0,0.0,B,B,True,False,False
recent,2,2023-03-01,2024-01-01,2024-08-01,-0.3556276594862069,1.8864201234279534,0.1,-0.43376823418705857,1.5730722531979897,0.1,0.0,0.0,B,B,True,False,False
recent,2,2023-03-01,2024-01-01,2024-09-01,1.9545113765905597,1.9087891121325802,0.5,1.5120093925664535,1.8300011262053237,0.1,-0.4,0.4,neutral,B,False,True,True
recent,2,2023-03-01,2024-01-01,2024-10-01,5.987025213153643,1.640682866747158,0.9,5.844267969072554,1.6149248100663498,0.5,-0.4,0.4,A,neutral,False,True,True
recent,2,2023-03-01,2024-01-01,2024-11-01,4.788562984682252,0.8021895390845531,0.9,4.259448856169913,0.7635294596444712,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2024-12-01,4.181962686292285,-0.40642477001286154,0.9,3.775896889646072,-0.32866532804694587,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-01-01,2.3975943380327336,-0.2838204971696545,0.9,2.1416358199887804,-0.5378753932284147,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-02-01,1.4146977472576618,-0.037755632141380085,0.9,1.0625795571539325,0.12893122513909835,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-03-01,0.591722520912436,0.1825826849529257,0.9,0.09103939200054319,0.41556996662841944,0.5,-0.4,0.4,A,neutral,False,True,True
recent,2,2023-03-01,2024-01-01,2025-04-01,0.37294832368141556,-0.16128132856772362,0.9,-0.27055279399591126,-0.15483998286940448,0.1,-0.8,0.8,A,B,False,True,True
recent,2,2023-03-01,2024-01-01,2025-05-01,0.8304772605050926,-0.05250282067861323,0.9,0.6453217599814034,-0.7065341010962978,0.5,-0.4,0.4,A,neutral,False,True,True
recent,2,2023-03-01,2024-01-01,2025-06-01,1.3820982495630203,0.12164310720222157,0.9,1.1831473192868263,-0.6204554869919847,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-07-01,1.0976318496226463,0.1500330694598079,0.9,0.9818905214747735,-0.5749758257750652,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-08-01,2.136137274124494,0.6260880891395151,0.9,1.8370944601032495,-0.08508914990465132,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-09-01,3.0515426482064316,2.3481761327536335,0.9,2.857078568264062,2.8284352685790655,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-10-01,2.3165903678790114,1.3519730674081978,0.9,2.273573035586423,1.4606040465408312,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-11-01,2.272133959766842,-1.0896823143724526,0.9,2.5445486788442944,-1.1054823144054111,0.9,0.0,0.0,A,A,True,False,False
recent,2,2023-03-01,2024-01-01,2025-12-01,2.1146674293781857,-2.543741313281487,0.9,1.8860533068021301,-2.9240174993335013,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2024-04-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,3,2023-04-01,2024-02-01,2024-05-01,-6.958650364686362,-5.42860542797619,0.1,-6.119946580807631,-5.408088884578507,0.1,0.0,0.0,B,B,True,False,False
recent,3,2023-04-01,2024-02-01,2024-06-01,-1.5189871586086463,-0.4775588527656873,0.1,-2.0378527636561667,-0.02858499634323901,0.1,0.0,0.0,B,B,True,False,False
recent,3,2023-04-01,2024-02-01,2024-07-01,-1.3145181895905855,1.125093161029565,0.1,-1.6377307769455913,1.4059919734437814,0.1,0.0,0.0,B,B,True,False,False
recent,3,2023-04-01,2024-02-01,2024-08-01,0.2905726139314763,-1.6556654188299202,0.5,0.0517019211695614,-1.3591884037357225,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,3,2023-04-01,2024-02-01,2024-09-01,2.6076876473109643,-1.0785407968922267,0.9,2.0039766444879406,-0.649086630747464,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2024-10-01,5.726420075906249,-1.186511891982381,0.9,5.7110576834584865,-1.227891550879837,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2024-11-01,4.788562984682252,-2.3925375316795137,0.9,4.259448856169913,-2.48681499641214,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2024-12-01,4.181962686292285,0.08938446577460926,0.9,3.775896889646072,-0.07816085100210636,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-01-01,2.3975943380327336,0.0937502786994818,0.9,2.1416358199887804,0.9633374991597915,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-02-01,1.4146977472576618,-1.0591046896210712,0.9,1.0625795571539325,-0.12250732172715853,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-03-01,0.591722520912436,-1.745550421868831,0.9,0.09103939200054319,-0.9808077176957658,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-04-01,0.37294832368141556,-1.1359742730958169,0.9,-0.27055279399591126,0.0564970981456807,0.5,-0.4,0.4,A,neutral,False,True,True
recent,3,2023-04-01,2024-02-01,2025-05-01,0.8304772605050926,0.8328504805856951,0.5,0.6453217599814034,0.9712796061630308,0.1,-0.4,0.4,neutral,B,False,True,True
recent,3,2023-04-01,2024-02-01,2025-06-01,1.3820982495630203,0.6002958204932867,0.9,1.1831473192868263,0.8138302770974272,0.5,-0.4,0.4,A,neutral,False,True,True
recent,3,2023-04-01,2024-02-01,2025-07-01,1.0976318496226463,-0.2519781501489201,0.9,0.9818905214747735,0.45114082659945154,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-08-01,2.136137274124494,-0.03555646486898449,0.9,1.8370944601032495,0.47014448243074347,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-09-01,3.0515426482064316,-1.3767928657449837,0.9,2.857078568264062,-0.8271839615521923,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-10-01,2.3165903678790114,-1.2357924686509691,0.9,2.273573035586423,-0.6422785714042684,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-11-01,2.272133959766842,0.5770356696546021,0.9,2.5445486788442944,0.6291030999024622,0.9,0.0,0.0,A,A,True,False,False
recent,3,2023-04-01,2024-02-01,2025-12-01,2.1146674293781857,0.008560804999680713,0.9,1.8860533068021301,0.18895242617631322,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2024-05-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,4,2023-05-01,2024-03-01,2024-06-01,-0.4018911557016422,1.7393961265210656,0.1,-1.1013533430903244,2.348935348769454,0.1,0.0,0.0,B,B,True,False,False
recent,4,2023-05-01,2024-03-01,2024-07-01,0.13291170824523085,1.653081911478412,0.1,-0.22408211684989493,1.4334158768553356,0.1,0.0,0.0,B,B,True,False,False
recent,4,2023-05-01,2024-03-01,2024-08-01,1.7449166016456914,-0.6939149777027711,0.5,1.3239686869683152,-0.6284841524645527,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,4,2023-05-01,2024-03-01,2024-09-01,2.519304566497276,-1.0769103081008489,0.9,1.9468485232365211,-1.1513390531516463,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2024-10-01,6.300429365948787,-1.7565753697736635,0.9,6.057147754965928,-2.0722876254480656,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2024-11-01,4.788562984682252,-1.5583095879411333,0.9,4.259448856169913,-1.9484317018176966,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2024-12-01,4.181962686292285,0.009542859547453472,0.9,3.775896889646072,-0.512730090571204,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-01-01,2.3975943380327336,0.9846612830768784,0.9,2.1416358199887804,1.0976731379448792,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-02-01,1.4146977472576618,0.41175137543108753,0.9,1.0625795571539325,0.45781693349775715,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-03-01,0.591722520912436,0.911355335751134,0.5,0.09103939200054319,1.28365105004104,0.5,0.0,0.0,neutral,neutral,True,False,False
recent,4,2023-05-01,2024-03-01,2025-04-01,0.37294832368141556,-0.7014302919052271,0.9,-0.27055279399591126,-0.08078196210019879,0.1,-0.8,0.8,A,B,False,True,True
recent,4,2023-05-01,2024-03-01,2025-05-01,0.8304772605050926,-1.8550738380964047,0.9,0.6453217599814034,-1.7414362901096379,0.5,-0.4,0.4,A,neutral,False,True,True
recent,4,2023-05-01,2024-03-01,2025-06-01,1.3820982495630203,-1.8873925889379768,0.9,1.1831473192868263,-1.8074878361985964,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-07-01,1.0976318496226463,-2.6395057233211454,0.9,0.9818905214747735,-2.436517413960179,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-08-01,2.136137274124494,-1.539364258732323,0.9,1.8370944601032495,-1.6827923394800135,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-09-01,3.0515426482064316,-0.25602970010248327,0.9,2.857078568264062,-0.48156935361674413,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-10-01,2.3165903678790114,0.1644783438996226,0.9,2.273573035586423,-0.15840730004096804,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-11-01,2.272133959766842,1.9925966036601714,0.9,2.5445486788442944,1.5164819845474011,0.9,0.0,0.0,A,A,True,False,False
recent,4,2023-05-01,2024-03-01,2025-12-01,2.1146674293781857,0.056789502530856344,0.9,1.8860533068021301,-0.1526330447964394,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2015-01-01,,,0.5,,,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2015-02-01,-1.7813092289869794,2.121091636146524,0.1,-1.4489460362839766,1.4398419962481004,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-03-01,-3.2129100428535042,2.622545238122371,0.1,-2.9052741156296285,2.2769248009577496,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-04-01,-2.5110258572642086,2.1227103740473314,0.1,-2.3417091614486245,1.7842717679752405,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-05-01,-1.8662482736255728,2.3944518289602525,0.1,-1.4215836961836086,2.2046433658963296,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-06-01,0.059778805282358155,3.1804354828525527,0.1,0.741487397678421,3.1134519568702195,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-07-01,1.7524358596305507,1.5826564270619579,0.5,2.420436052793429,1.5349958995120745,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2015-08-01,0.5905853755050827,1.318064698210782,0.1,1.0764047241485448,1.4783821055331727,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-09-01,2.306564847563225,2.0054594647586637,0.5,1.922678646624271,2.030691628593377,0.1,-0.4,0.4,neutral,B,False,True,True
historical,0,2014-01-01,2014-11-01,2015-10-01,-0.5173296191743775,3.296280172409185,0.1,-0.724980160110671,2.8957759972810013,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-11-01,0.3269085563351978,3.15375378055589,0.1,0.3641930592070532,2.694372653481547,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2015-12-01,1.7680142250400555,3.132694790475773,0.1,2.1319113826265648,2.662051156626201,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-01-01,1.1434423166618928,1.2239801024244747,0.1,1.9159919079869154,0.3505364054600499,0.5,0.4,0.4,B,neutral,False,True,True
historical,0,2014-01-01,2014-11-01,2016-02-01,2.938907560056785,-1.5320707328876442,0.5,3.5026390959270115,-1.6308476315980192,0.9,0.4,0.4,neutral,A,False,True,True
historical,0,2014-01-01,2014-11-01,2016-03-01,2.012761261923549,0.17132263224931465,0.9,2.4939327715172217,0.002049796852226813,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2016-04-01,1.785483890038654,0.7665121527396397,0.9,2.28542243641656,0.5350167943755788,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2016-05-01,0.9559479177252881,1.9581345922557647,0.5,1.350713854218196,1.825404092346406,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2016-06-01,0.2166942640678007,2.2071935966298932,0.1,0.9870742673688192,2.219709316467368,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-07-01,-0.45476176791557715,2.109733713664969,0.1,0.548891340504034,1.8596187641607294,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-08-01,-2.903013008704854,1.5565021362221465,0.1,-2.4880728658015743,1.3239472054125985,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-09-01,-3.610048109116858,0.9859557053692309,0.1,-3.210302907999428,0.48349754184773214,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-10-01,-4.4955839822586485,1.403716876172939,0.1,-4.100065865883966,1.42919403457697,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-11-01,-3.160432996236744,0.7202790749803264,0.1,-3.2381752609345305,1.133840838316391,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2016-12-01,-2.209915566278774,-0.4623318052988781,0.1,-2.1686678075927723,-0.6285400103128237,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-01-01,-1.3109877455983792,1.3353681727185682,0.1,-1.085499036438366,1.3929107832910819,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-02-01,0.690807534892441,1.603489039684571,0.1,0.8037121820212646,1.0783887350383992,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-03-01,0.35974770873341816,0.7597178253611001,0.1,0.768672326513269,0.39461573832436575,0.5,0.4,0.4,B,neutral,False,True,True
historical,0,2014-01-01,2014-11-01,2017-04-01,2.021057135732203,2.4790196405487688,0.1,2.2768207227965838,2.460929362016802,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-05-01,0.7497031956624766,-1.6819172619654745,0.5,1.1474226853122715,-1.5113543758360253,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2017-06-01,-0.5934688814626596,1.2067694001259328,0.1,-0.14862301135581255,1.2820412712729978,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-07-01,-1.1626277952333028,1.095550559076735,0.1,-1.5925962467034618,1.2360209626442074,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-08-01,-0.1570940187983294,1.6323052248019763,0.1,-0.35310099206585405,1.8498383939724832,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-09-01,-0.9953461284308582,1.5773052227601017,0.1,-0.8811866404504458,1.4513875799276499,0.1,0.0,0.0,B,B,True,False,False
historical,0,2014-01-01,2014-11-01,2017-10-01,1.333367258419354,0.7060903361246476,0.5,1.2413665262116111,0.7189862057405648,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2017-11-01,0.6935239504973671,-0.889907317500447,0.9,0.8225009577294131,-0.6620966220487092,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2017-12-01,0.4247439251686716,-2.0621036654417373,0.9,-0.343916518030033,-2.132808263384735,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-01-01,1.0703466230919703,-0.942535525177691,0.9,0.08488688796527345,-1.607615659552409,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-02-01,1.5599828082547296,-1.2126018018400908,0.9,1.0852863777043391,-2.1001931042553093,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-03-01,1.4065904204654138,-0.1661789775468075,0.9,0.9314797272343718,-1.1431504862703448,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-04-01,2.035893368362323,-0.8291359549797459,0.9,1.7603434071693962,-1.5538399622962171,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-05-01,2.2854248677906943,-0.879571291359684,0.9,1.8738771587395997,-0.9887484791772742,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-06-01,3.6584506625912554,0.44334592386045524,0.9,3.013918555792539,0.5947123913569807,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-07-01,4.035072798471292,0.6402227693961644,0.9,3.1001775001471343,0.21459100488659463,0.9,0.0,0.0,A,A,True,False,False
historical,0,2014-01-01,2014-11-01,2018-08-01,2.8956248821934416,2.946247122950547,0.5,2.080739887052745,2.1831336282096467,0.5,0.0,0.0,neutral,neutral,True,False,False
historical,0,2014-01-01,2014-11-01,2018-09-01,3.8473693502037816,1.971336512509941,0.9,3.341285593187822,1.0651561231041076,0.9,0.0,0.0,A,A,True,False,False
